,pft,vname,units,distname,parama,paramb,cimin,cimax,median
44,CMT04-Decid,gcmax; Maximum canopy conductance,m s-1,unif,0.0025,0.0035,0.002501,0.00347502402402402,0.0030004994994995
45,CMT04-Decid,pstemp_min; Minimum temperature for photosynthesis,degree_C,unif,-11.0,-5.0,-10.994000000000002,-5.1498558558558605,-7.997003003003
46,CMT04-Decid,pstemp_low; The range of minimal temperatures for photosynthesis,degree_C,unif,2.0,9.0,2.0069999999999997,8.82516816816817,5.5034964964965
47,CMT04-Decid,pstemp_high; The range of maximum temperatures for photosynthesis,degree_C,unif,20.0,26.0,20.006,25.8501441441441,23.002996996997
48,CMT04-Decid,pstemp_max; Maximum temperature for photosynthesis,degree_C,unif,22.0,28.0,22.006,27.8501441441441,25.002996996997
49,CMT04-Decid,Fine root productivity allocationn at 50 cm depth,percent,unif,0.005,4.0,0.008995,3.90022097597598,2.0044955005005
50,CMT04-Decid,Cuticular conductance,µmol m-2 s-1,lnorm,8.0,0.7,342.693816651818,11766.1337124521,3006.45558607611
51,CMT04-Decid,klai; Extinction coefficient for converting between LAI and foliar percent cover,unitless,unif,0.15,0.34,0.15019000000000002,0.335254564564565,0.245094904904905
52,CMT04-Decid,labncon; Labile N concentration,g N m-2,unif,0.05,0.35,0.0503,0.34250720720720695,0.20014984984985001
53,CMT04-Decid,ilai; Starting value for leaf area index,m2 m-2,gamma,1.0,20.0,5.0025016679176706e-05,0.184644972554133,0.0349640506745122
54,CMT04-Decid,SLA; specific leaf area,m2 kg leaf-1,weibull,3.486703,14.234129999999999,1.96327686300931,20.7124351783815,12.833678030021698
55,CMT04-Betula,Extinction coefficient,unitless,gamma,5.0,10.0,0.0739371731917833,1.02499118557003,0.46786487062656
56,CMT04-Betula,SW_albedo; Shortwave albedo,W m-2,unif,0.01,0.3,0.01029,0.292756966966967,0.15514485485485502
57,CMT04-Betula,Fine root productivity allocationn at 30 cm depth,percent,unif,1.0,30.0,1.0290000000000001,29.275696696696702,15.5144854854855
58,CMT04-Betula,Fine root productivity allocationn at 40 cm depth,percent,unif,0.5,10.0,0.5095,9.76272822822823,5.25474524524525
59,CMT04-Betula,ppfd50; Amount of photosynthetically active radiation at which stomates partially (half) close,µmol m-2 s-1,unif,5.0,145.0,5.14,141.503363363363,75.0699299299299
60,CMT04-Betula,vpd_open; Vapor pressure deficit for leaf stomata fully opened,Pa,unif,0.765,1.1,0.765335,1.09163304804805,0.932667332332332
61,CMT04-Betula,vpd_close; Vapor pressure deficit for leaf stomata fully closed,Pa,unif,3.25,5.0,3.25175,4.95629204204204,4.1258741241241195
62,CMT04-Betula,Fine root productivity allocationn at 10 cm depth,percent,unif,1.0,60.0,1.0590000000000002,58.5264174174174,30.5294704704705
63,CMT04-Betula,Fine root productivity allocationn at 20 cm depth,percent,unif,10.0,90.0,10.08,88.0019219219219,50.039959959959994
64,CMT04-Betula,gcmax; Maximum canopy conductance,m s-1,unif,0.0025,0.0035,0.002501,0.00347502402402402,0.0030004994994995
65,CMT04-Betula,pstemp_min; Minimum temperature for photosynthesis,degree_C,unif,-11.0,-5.0,-10.994000000000002,-5.1498558558558605,-7.997003003003
66,CMT04-Betula,pstemp_low; The range of minimal temperatures for photosynthesis,degree_C,unif,2.0,9.0,2.0069999999999997,8.82516816816817,5.5034964964965
67,CMT04-Betula,pstemp_high; The range of maximum temperatures for photosynthesis,degree_C,unif,20.0,26.0,20.006,25.8501441441441,23.002996996997
68,CMT04-Betula,pstemp_max; Maximum temperature for photosynthesis,degree_C,unif,22.0,28.0,22.006,27.8501441441441,25.002996996997
69,CMT04-Betula,Fine root productivity allocationn at 50 cm depth,percent,unif,0.005,4.0,0.008995,3.90022097597598,2.0044955005005
70,CMT04-Betula,Cuticular conductance,µmol m-2 s-1,lnorm,8.0,0.7,342.693816651818,11766.1337124521,3006.45558607611
71,CMT04-Betula,klai; Extinction coefficient for converting between LAI and foliar percent cover,unitless,unif,0.15,0.34,0.15019000000000002,0.335254564564565,0.245094904904905
72,CMT04-Betula,labncon; Labile N concentration,g N m-2,unif,0.05,0.35,0.0503,0.34250720720720695,0.20014984984985001
73,CMT04-Betula,ilai; Starting value for leaf area index,m2 m-2,gamma,1.0,20.0,5.0025016679176706e-05,0.184644972554133,0.0349640506745122
74,CMT04-Betula,SLA; specific leaf area,m2 kg leaf-1,weibull,3.486703,14.234129999999999,1.96327686300931,20.7124351783815,12.833678030021698
75,CMT05-Sedges,Extinction coefficient,unitless,gamma,5.0,10.0,0.0739371731917833,1.02499118557003,0.46786487062656
76,CMT05-Sedges,SW_albedo; Shortwave albedo,W m-2,unif,0.01,0.3,0.01029,0.292756966966967,0.15514485485485502
77,CMT05-Sedges,Fine root productivity allocationn at 30 cm depth,percent,unif,1.0,30.0,1.0290000000000001,29.275696696696702,15.5144854854855
78,CMT05-Sedges,Fine root productivity allocationn at 40 cm depth,percent,unif,0.5,10.0,0.5095,9.76272822822823,5.25474524524525
79,CMT05-Sedges,ppfd50; Amount of photosynthetically active radiation at which stomates partially (half) close,µmol m-2 s-1,unif,5.0,145.0,5.14,141.503363363363,75.0699299299299
